Format Version,1.0,
Take Name,Subject_01_trial,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
26,0.260000,26,8.282227,-4.623535,-27.061523,1.544373,-0.716949,-3.868164,-0.026493,-0.057069,0.000000,-4.463315
27,0.270000,27,7.586426,-3.928589,-26.554688,1.480896,-0.733368,-4.069824,-0.027617,-0.055768,0.000000,-4.601399
28,0.280000,28,7.740234,-3.924805,-26.941406,1.596619,-0.705811,-4.002441,-0.026198,-0.059263,0.000000,-4.563970
29,0.290000,29,7.647705,-4.080811,-26.938477,1.507996,-0.684967,-4.305176,-0.025427,-0.055979,0.000000,-4.837051
30,0.300000,30,8.288086,-3.791260,-26.818359,1.523804,-0.713623,-4.136963,-0.026609,-0.056819,0.000000,-4.708771
31,0.310000,31,7.377441,-3.654053,-26.942383,1.497620,-0.763031,-4.069824,-0.028321,-0.055586,0.000000,-4.583393
32,0.320000,32,7.985596,-3.673340,-26.947266,1.497986,-0.745941,-3.918701,-0.027682,-0.055590,0.000000,-4.464300
33,0.330000,33,8.469238,-3.973022,-26.816406,1.528259,-0.709167,-4.540527,-0.026445,-0.056990,0.000000,-5.128254
34,0.340000,34,7.918213,-4.445801,-26.933594,1.609253,-0.654602,-3.985718,-0.024304,-0.059749,0.000000,-4.566875
35,0.350000,35,8.107422,-3.671021,-26.948242,1.544128,-0.646820,-3.918701,-0.024002,-0.057300,0.000000,-4.471367
36,0.360000,36,8.107422,-3.333252,-26.311523,1.512207,-0.764191,-3.918457,-0.029044,-0.057473,0.000000,-4.481227
37,0.370000,37,7.582520,-4.636963,-27.056641,1.637268,-0.640961,-3.717041,-0.023690,-0.060513,0.000000,-4.285727
38,0.380000,38,7.978516,-4.690674,-27.315430,1.592468,-0.678314,-4.036377,-0.024833,-0.058299,0.000000,-4.618000
39,0.390000,39,8.068359,-4.536133,-26.676758,1.565125,-0.698029,-3.767090,-0.026166,-0.058670,0.000000,-4.359153
40,0.400000,40,7.643799,-4.574219,-27.058594,1.543274,-0.734711,-4.137207,-0.027153,-0.057035,0.000000,-4.697369
41,0.410000,41,7.984131,-3.888916,-27.071289,1.526489,-0.675140,-4.322021,-0.024939,-0.056388,0.000000,-4.869216
