Format Version,1.0,
Take Name,Subject_01_trial,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.501692,
PosX_PosY_Y,-0.000067,
PosX_PosY_Z,0.500841,
NegX_PosY_X,-0.000059,
NegX_PosY_Y,-0.000028,
NegX_PosY_Z,0.501540,
NegX_NegY_X,-0.000048,
NegX_NegY_Y,0.000003,
NegX_NegY_Z,0.000010,
PosX_NegY_X,0.501703,
PosX_NegY_Y,-0.000036,
PosX_NegY_Z,-0.000689,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
304,3.040000,304,-1.235168,16.392578,-66.871094,-0.435760,2.644409,-6.230957,0.039545,0.006516,0.000000,-6.887249
305,3.049000,305,-1.697021,16.050781,-67.007812,-0.454285,2.556152,-6.423584,0.038147,0.006780,0.000000,-7.047379
306,3.060000,306,-2.483765,16.376953,-66.476562,-0.419281,2.483765,-6.229736,0.037363,0.006307,0.000000,-6.857294
307,3.069000,307,-2.393188,16.562500,-66.882812,-0.445007,2.559692,-6.038330,0.038271,0.006654,0.000000,-6.688121
308,3.080000,308,-1.607422,16.265625,-66.875000,-0.387268,2.535034,-5.863770,0.037907,0.005791,0.000000,-6.489660
309,3.089000,309,-2.377563,15.705078,-66.742188,-0.356094,2.583008,-6.353027,0.038701,0.005335,0.000000,-6.973519
310,3.100000,310,-2.543579,16.254883,-66.878906,-0.439377,2.554321,-5.968506,0.038193,0.006570,0.000000,-6.606043
311,3.109000,311,-1.572021,16.051758,-67.140625,-0.333969,2.559937,-5.899170,0.038128,0.004974,0.000000,-6.519011
312,3.120000,312,-0.652435,15.266602,-67.261719,-0.384094,2.587158,-6.354004,0.038464,0.005710,0.000000,-6.944945
313,3.129000,313,-0.211494,16.741211,-67.000000,-0.413574,2.604004,-6.301025,0.038866,0.006173,0.000000,-6.952991
314,3.140000,314,-1.507080,15.898926,-66.871094,-0.331436,2.537476,-5.898682,0.037946,0.004956,0.000000,-6.509449
315,3.149000,315,-2.347534,15.766602,-66.742188,-0.357193,2.535278,-6.178223,0.037986,0.005352,0.000000,-6.789699
316,3.160000,316,-1.553040,16.725586,-67.277344,-0.466644,2.561523,-5.916748,0.038074,0.006936,0.000000,-6.564332
317,3.169000,317,-1.859863,16.416016,-66.878906,-0.391617,2.527466,-5.916260,0.037792,0.005856,0.000000,-6.547539
318,3.180000,318,-1.764526,16.324219,-66.875000,-0.389267,2.481445,-6.038330,0.037106,0.005821,0.000000,-6.654323
319,3.189000,319,-0.959290,16.670898,-67.007812,-0.463516,2.580444,-6.213623,0.038510,0.006917,0.000000,-6.862248
320,3.200000,320,-1.640381,16.356445,-66.742188,-0.413681,2.436768,-6.143311,0.036510,0.006198,0.000000,-6.750655
321,3.209000,321,-1.632446,15.928223,-66.871094,-0.428055,2.631226,-6.108398,0.039348,0.006401,0.000000,-6.745587
322,3.220000,322,-1.775085,16.907227,-67.011719,-0.377106,2.603882,-6.143799,0.038857,0.005627,0.000000,-6.810754
323,3.229000,323,-0.891266,16.366211,-67.003906,-0.409149,2.533325,-6.301025,0.037809,0.006106,0.000000,-6.925251
324,3.240000,324,-1.206299,16.515625,-66.871094,-0.342804,2.621216,-5.916260,0.039198,0.005126,0.000000,-6.569824
325,3.250000,325,-0.322327,15.974609,-66.996094,-0.398178,2.623535,-6.213623,0.039160,0.005943,0.000000,-6.841096
326,3.259000,326,-0.708954,16.643555,-67.136719,-0.389679,2.612427,-6.371338,0.038912,0.005804,0.000000,-7.023088
327,3.270000,327,-0.551697,16.583984,-67.269531,-0.411011,2.543945,-5.916748,0.037817,0.006110,0.000000,-6.547279
328,3.279000,328,-1.005188,15.782715,-67.269531,-0.396591,2.625610,-6.371582,0.039031,0.005896,0.000000,-6.993526
329,3.290000,329,-0.783051,15.539551,-66.460938,-0.345703,2.535767,-6.212402,0.038154,0.005202,0.000000,-6.809375
330,3.299000,330,-0.853210,15.999023,-67.132812,-0.376968,2.655396,-6.598633,0.039554,0.005615,0.000000,-7.236255
331,3.310000,331,-0.054234,16.681641,-67.132812,-0.387222,2.608643,-5.934082,0.038858,0.005768,0.000000,-6.582609
332,3.319000,332,-1.419800,16.268555,-67.273438,-0.361069,2.516113,-6.039307,0.037401,0.005367,0.000000,-6.655392
333,3.330000,333,-0.203102,16.282227,-66.996094,-0.499359,2.652222,-6.003906,0.039588,0.007454,0.000000,-6.649996
334,3.339000,334,-0.053114,16.621094,-67.132812,-0.433624,2.632935,-5.986572,0.039220,0.006459,0.000000,-6.638791
